"gencode_id","ensembl_id","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000148773.14","ENSG00000148773","MKI67",1.93494158068433,5.01408007032221,10.4005515327727,5.0822843073484e-19,7.82836784282734e-15,8.91045655291685
"ENSG00000131747.15","ENSG00000131747","TOP2A",1.77356456457849,3.88361680145941,10.2294450101436,8.06341643181474e-19,7.82836784282734e-15,8.85913984932849
"ENSG00000276043.5","ENSG00000276043","UHRF1",1.62981389495779,2.63438878614867,10.0300593851877,2.51233051431568e-18,1.62606405321558e-14,8.73153779090876
"ENSG00000175063.17","ENSG00000175063","UBE2C",2.05443327087065,1.13848584703508,9.73552812756927,9.1933323023842e-18,4.25382706399766e-14,8.58361998262939
"ENSG00000145386.11","ENSG00000145386","CCNA2",1.974922003128,2.36005791255259,9.68983142521691,1.09538730596839e-17,4.25382706399766e-14,8.56345068766109
"ENSG00000126787.13","ENSG00000126787","DLGAP5",2.31438162930498,1.51051761549698,9.64154994813814,1.50162202353105e-17,4.85949913848372e-14,8.52702286077709
"ENSG00000127564.17","ENSG00000127564","PKMYT1",2.06080747536344,2.03905316148921,9.67399870444003,1.92906165531532e-17,5.35094145160824e-14,8.49798732716645
"ENSG00000171848.16","ENSG00000171848","RRM2",1.93950456852588,4.70849550859067,9.72644233359284,2.20514307024956e-17,5.35215787437945e-14,8.48244291211043
"ENSG00000117724.13","ENSG00000117724","CENPF",1.60930184494545,3.32039733032069,9.61676175317972,2.74359980431499e-17,5.6152321190581e-14,8.45699317026956
"ENSG00000166851.15","ENSG00000166851","PLK1",1.54984074834543,2.3653858689911,9.53971823898906,2.89191539324206e-17,5.6152321190581e-14,8.45084921889456
"ENSG00000088325.16","ENSG00000088325","TPX2",1.78603897320261,2.8363211328995,9.51699006813739,5.73753661549602e-17,1.00355330512963e-13,8.37049773308863
"ENSG00000170312.16","ENSG00000170312","CDK1",1.91968036624055,1.87563725794718,9.45355685255264,6.62654964049162e-17,1.00355330512963e-13,8.35350697672022
"ENSG00000167900.12","ENSG00000167900","TK1",1.78004577832906,2.65704720040044,9.46938049970818,6.71895399221566e-17,1.00355330512963e-13,8.3518718482184
"ENSG00000111206.13","ENSG00000111206","FOXM1",1.91942224918176,2.41252097023032,9.40879854854987,8.89248261632939e-17,1.21013865329086e-13,8.31871133977976
"ENSG00000186185.14","ENSG00000186185","KIF18B",2.3127422207605,1.09855290141215,9.34525634778984,9.42849653316082e-17,1.21013865329086e-13,8.31177008776071
"ENSG00000089685.15","ENSG00000089685","BIRC5",2.14303316214846,1.87459076580678,9.32820427118695,1.12577457762907e-16,1.21013865329086e-13,8.29070682164067
"ENSG00000117399.14","ENSG00000117399","CDC20",2.24624530265527,1.46565828866293,9.29193402383577,1.12616152853327e-16,1.21013865329086e-13,8.290665948708
"ENSG00000093009.11","ENSG00000093009","CDC45",1.87025779713197,1.75410129370723,9.33819380911186,1.15469831903037e-16,1.21013865329086e-13,8.28768920065509
"ENSG00000211896.7","ENSG00000211896","IGHG1",2.88767458761538,7.85364915720601,9.54254805627885,1.18414968391236e-16,1.21013865329086e-13,8.28469216758182
