"soma_id","target_full_name","target","uniprot","entrez_gene_id","entrez_gene_symbol","dilution","col_check","uniprot_single","entrez_gene_id_single","gene_id","converted_seq_ids","intracellular","membrane","secreted"
"SL019233","Beta-crystallin B2","CRBB2","P43320","1415","CRYBB2",10,"PASS","P43320","1415","CRYBB2","seq.10000.28",TRUE,FALSE,FALSE
"SL002564","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049","5894","RAF1",10,"PASS","P04049","5894","RAF1","seq.10001.7",TRUE,FALSE,FALSE
"SL019245","Zinc finger protein 41","ZNF41","P51814","7592","ZNF41",0.5,"PASS","P51814","7592","ZNF41","seq.10003.15",TRUE,FALSE,FALSE
"SL019228","ETS domain-containing protein Elk-1","ELK1","P19419","2002","ELK1",10,"PASS","P19419","2002","ELK1","seq.10006.25",TRUE,FALSE,FALSE
"SL019234","Guanylyl cyclase-activating protein 1","GUC1A","P43080","2978","GUCA1A",10,"PASS","P43080","2978","GUCA1A","seq.10008.43",TRUE,FALSE,FALSE
"SL014943","Beclin-1","BECN1","Q14457","8678","BECN1",10,"PASS","Q14457","8678","BECN1","seq.10010.10",TRUE,FALSE,FALSE
"SL019246","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968","4952","OCRL",10,"PASS","Q01968","4952","OCRL","seq.10011.65",TRUE,FALSE,FALSE
"SL014669","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238","25803","SPDEF",10,"PASS","O95238","25803","SPDEF","seq.10012.5",TRUE,FALSE,FALSE
"SL007803","Zinc finger protein SNAI2","SLUG","O43623","6591","SNAI2",10,"PASS","O43623","6591","SNAI2","seq.10014.31",TRUE,FALSE,FALSE
"SL014924","Voltage-gated potassium channel subunit beta-2","KCAB2","Q13303","8514","KCNAB2",10,"PASS","Q13303","8514","KCNAB2","seq.10015.119",TRUE,FALSE,FALSE
"SL019229","DNA polymerase eta","POLH","Q9Y253","5429","POLH",10,"PASS","Q9Y253","5429","POLH","seq.10022.207",TRUE,FALSE,FALSE
"SL004071","Vitamin D3 receptor","VDR","P11473","7421","VDR",10,"PASS","P11473","7421","VDR","seq.10023.32",TRUE,FALSE,FALSE
"SL019235","4-hydroxy-2-oxoglutarate aldolase, mitochondrial","HOGA1","Q86XE5","112817","HOGA1",10,"PASS","Q86XE5","112817","HOGA1","seq.10024.44",TRUE,FALSE,FALSE
